                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87725,                 2.7703,                0.96931,                0.09357,                0.45594,                0.22606,                0.18647,                0.68634,                 3.3899,                0.80898,             0.00032867,             0.00032867,             0.00032867
                      2,                0.82454,                  1.257,                0.94507,                0.06853,                0.33384,                0.18671,                0.15778,                0.70438,                 3.3621,                0.82905,             0.00065833,             0.00065833,             0.00065833
                      3,                0.77997,                  1.004,                0.94148,                0.04313,                0.28547,                0.14256,                0.11764,                0.73647,                 3.2481,                0.86045,             0.00097441,             0.00097441,             0.00097441
                      4,                0.75055,                0.94596,                0.92246,                0.82918,                0.08636,                0.20707,                0.17077,                0.77728,                 2.9474,                0.87197,              0.0012769,              0.0012769,              0.0012769
                      5,                0.73027,                0.88173,                0.92199,                0.76886,                0.16258,                0.27292,                0.22563,                0.72807,                  2.438,                0.87395,              0.0013158,              0.0013158,              0.0013158
                      6,                0.73769,                0.85906,                0.92905,                0.50925,                0.39325,                0.44904,                0.36214,                 0.7144,                 1.7634,                0.86292,              0.0012875,              0.0012875,              0.0012875
                      7,                0.71464,                0.82468,                0.92239,                0.51953,                 0.5597,                0.50354,                0.41964,                0.62678,                0.93412,                0.84347,              0.0012592,              0.0012592,              0.0012592
                      8,                0.67243,                0.76958,                0.90303,                 0.8989,                0.52181,                0.57744,                 0.4698,                0.60965,                0.81258,                0.85503,              0.0012309,              0.0012309,              0.0012309
                      9,                0.66657,                0.76963,                0.89707,                0.91205,                  0.514,                0.58968,                0.49615,                0.57334,                0.73493,                0.83647,              0.0012026,              0.0012026,              0.0012026
                     10,                 0.6419,                0.73909,                0.88545,                0.90362,                0.52138,                0.59603,                0.50201,                0.57431,                0.71607,                0.83356,              0.0011744,              0.0011744,              0.0011744
                     11,                0.62694,                0.71677,                0.89656,                0.50755,                0.61863,                0.60304,                0.50732,                0.57476,                0.71664,                0.83155,              0.0011461,              0.0011461,              0.0011461
                     12,                0.63308,                0.68978,                0.89084,                0.49841,                0.68655,                0.63072,                0.54281,                 0.5437,                0.67242,                0.82142,              0.0011178,              0.0011178,              0.0011178
                     13,                0.60681,                0.68359,                0.88295,                 0.9092,                0.53437,                0.63004,                0.53544,                0.54882,                0.67181,                0.82419,              0.0010895,              0.0010895,              0.0010895
                     14,                0.61043,                0.66773,                0.87932,                0.91272,                 0.5419,                0.63517,                0.53716,                0.57912,                0.63917,                0.83091,              0.0010612,              0.0010612,              0.0010612
                     15,                0.60753,                0.66092,                0.87933,                0.63621,                 0.6205,                0.66827,                0.57666,                0.54679,                0.64072,                 0.8276,              0.0010329,              0.0010329,              0.0010329
                     16,                0.59542,                0.63503,                0.88052,                 0.6266,                0.61085,                0.62029,                0.53331,                0.52645,                0.62554,                0.82107,              0.0010046,              0.0010046,              0.0010046
                     17,                0.58143,                0.63371,                0.87708,                 0.5299,                0.67893,                 0.6177,                0.53245,                0.52484,                0.60429,                0.82019,             0.00097629,             0.00097629,             0.00097629
                     18,                0.55976,                0.60512,                0.86481,                0.91298,                0.52737,                0.61297,                0.52045,                0.52174,                0.61635,                 0.8173,               0.000948,               0.000948,               0.000948
                     19,                0.55231,                0.59466,                0.86277,                0.57758,                 0.6042,                0.62201,                0.54019,                0.50955,                0.60545,                0.81453,              0.0009197,              0.0009197,              0.0009197
                     20,                0.54168,                0.59397,                0.86265,                0.60444,                0.58992,                 0.6205,                0.54349,                0.49011,                0.58931,                0.80749,             0.00089141,             0.00089141,             0.00089141
                     21,                0.52748,                0.59003,                 0.8603,                0.62511,                0.58051,                 0.6421,                0.55628,                0.50318,                0.59375,                 0.8133,             0.00086312,             0.00086312,             0.00086312
                     22,                0.53903,                0.59154,                0.86244,                0.56853,                  0.611,                0.63969,                 0.5611,                0.49522,                0.58937,                0.80759,             0.00083482,             0.00083482,             0.00083482
                     23,                0.52652,                0.56784,                0.86045,                 0.5649,                0.64658,                0.68281,                0.59738,                0.49546,                0.58514,                0.80973,             0.00080653,             0.00080653,             0.00080653
                     24,                0.53649,                0.57188,                0.85709,                0.50195,                0.65275,                0.62309,                 0.5458,                  0.503,                0.60028,                0.80568,             0.00077823,             0.00077823,             0.00077823
                     25,                0.54445,                0.57737,                0.86635,                0.71454,                0.60648,                0.63883,                0.56284,                0.48976,                0.56318,                0.80478,             0.00074994,             0.00074994,             0.00074994
                     26,                0.53579,                0.56946,                0.86175,                0.66537,                0.60945,                0.62642,                0.54943,                0.48691,                0.55202,                0.80279,             0.00072164,             0.00072164,             0.00072164
                     27,                0.52385,                0.55192,                0.85019,                  0.605,                0.68187,                  0.635,                0.55886,                0.48635,                 0.5417,                0.80678,             0.00069335,             0.00069335,             0.00069335
                     28,                0.51497,                  0.539,                 0.8515,                0.55707,                 0.6434,                0.64698,                0.56704,                0.48061,                0.54167,                0.80586,             0.00066506,             0.00066506,             0.00066506
                     29,                0.49901,                0.53207,                0.85259,                 0.5974,                0.63355,                 0.6539,                0.57791,                0.46817,                0.52683,                0.80082,             0.00063676,             0.00063676,             0.00063676
                     30,                0.49432,                0.52426,                0.85759,                0.65734,                0.62075,                0.67222,                0.58032,                0.47489,                0.52273,                0.79975,             0.00060847,             0.00060847,             0.00060847
                     31,                0.49677,                 0.5299,                0.85671,                0.67884,                0.61379,                0.67592,                0.59471,                0.44733,                0.52466,                0.79463,             0.00058017,             0.00058017,             0.00058017
                     32,                0.49751,                0.52733,                0.85254,                0.61752,                0.63083,                0.64839,                0.56959,                0.45648,                0.52864,                0.79544,             0.00055188,             0.00055188,             0.00055188
                     33,                0.50315,                0.51422,                0.85709,                0.58334,                0.67601,                0.64906,                0.57408,                0.44845,                0.52819,                 0.7962,             0.00052359,             0.00052359,             0.00052359
                     34,                0.48746,                0.50565,                0.85081,                 0.6751,                0.60468,                0.64953,                0.57201,                  0.453,                0.51874,                0.80057,             0.00049529,             0.00049529,             0.00049529
                     35,                0.48989,                0.50832,                0.85182,                0.65491,                 0.5964,                0.67003,                0.59074,                0.44948,                0.51323,                0.79924,               0.000467,               0.000467,               0.000467
                     36,                0.48183,                0.49147,                0.84292,                0.61772,                0.61182,                0.65064,                 0.5746,                0.44183,                0.50207,                0.79701,              0.0004387,              0.0004387,              0.0004387
                     37,                0.46549,                0.48778,                0.84006,                0.54676,                0.64106,                0.64164,                0.57215,                0.44063,                0.50384,                0.79634,             0.00041041,             0.00041041,             0.00041041
                     38,                0.46491,                0.48463,                0.84279,                0.53795,                0.70345,                0.63969,                 0.5718,                0.43639,                0.49597,                  0.795,             0.00038211,             0.00038211,             0.00038211
                     39,                0.45829,                0.46733,                0.84347,                0.56024,                  0.695,                0.64209,                0.57509,                0.43888,                0.49119,                0.79623,             0.00035382,             0.00035382,             0.00035382
                     40,                0.44318,                0.46968,                0.83521,                0.62841,                0.67372,                0.65478,                0.58275,                 0.4306,                0.47786,                0.79252,             0.00032553,             0.00032553,             0.00032553
                     41,                0.43553,                0.46088,                0.82056,                0.63739,                0.65749,                0.65403,                0.58599,                0.43608,                0.49678,                0.79153,             0.00029723,             0.00029723,             0.00029723
                     42,                0.43372,                0.44653,                0.82304,                0.60936,                0.66271,                0.66257,                 0.5906,                0.43603,                 0.4931,                0.79151,             0.00026894,             0.00026894,             0.00026894
                     43,                 0.4278,                0.44518,                0.82454,                 0.5657,                 0.7267,                0.64531,                0.57376,                0.43686,                0.48655,                0.79049,             0.00024064,             0.00024064,             0.00024064
                     44,                0.41898,                0.43514,                 0.8188,                0.57309,                0.73151,                0.68172,                0.60611,                0.42787,                0.47968,                0.78951,             0.00021235,             0.00021235,             0.00021235
                     45,                0.41754,                0.42746,                0.82713,                0.64339,                0.62103,                0.68139,                0.60436,                0.42333,                0.47521,                0.78784,             0.00018406,             0.00018406,             0.00018406
                     46,                0.40596,                0.42674,                0.82631,                0.66341,                0.61566,                0.68269,                 0.6058,                0.42055,                0.47153,                0.78776,             0.00015576,             0.00015576,             0.00015576
                     47,                0.40523,                 0.4115,                0.82409,                0.67246,                0.61474,                0.68366,                 0.6079,                0.41367,                0.46471,                0.78749,             0.00012747,             0.00012747,             0.00012747
                     48,                 0.4033,                0.40838,                0.82122,                0.72228,                0.62108,                0.68512,                0.61055,                0.41387,                0.46339,                 0.7869,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.39787,                0.40933,                0.81722,                0.75174,                0.61969,                0.68314,                0.60884,                0.41331,                0.46126,                0.78586,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 0.3953,                0.40739,                0.81386,                0.77199,                 0.6188,                0.68221,                0.60711,                0.41112,                0.46272,                0.78532,             4.2584e-05,             4.2584e-05,             4.2584e-05
